Mã trường,Mã ngành,Tên ngành,Tổ hợp môn,Điểm chuẩn,Năm xét tuyển,Ghi chú
BKA,7850103_EE1y,Kỹ thuật Điện,A00;A01,23.05,2022,
BKA,7850103_EE2,Kỹ thuật Điều khiển - Tự động hóa,A00;A01,26.05,2019,
BKA,7850103_EE2,Kỹ thuật Điều khiển - Tự động hoá,A00;A01,28.16,2020,Toán
BKA,7850103_EE2,Kỹ thuật Điều khiển và Tự động hóa,A00;A01,27.46,2021,
BKA,7850103_EE2,Kỹ thuật điều khiển & Tự động hóa,A00;A01,27.57,2023,
BKA,7850103_EE2,Kỹ thuật điều khiển - Tự động hóa,A00;A01,28.16,2024,
BKA,7850103_EE2x,Kỹ thuật Điều khiển - Tự động hoá,A19,24.41,2020,KTTD
BKA,7850103_EE2y,Kỹ thuật Điều khiển - Tự động hoá,A00;A01,27.61,2022,
BKA,7850103_EM-E13,Chương trình tiên tiến Phân tích kinh doanh,A00;A01,22.0,2019,
BKA,7850103_EM-E13,Phân tích kinh doanh (CT tiên trên),A00;A01,25.03,2020,Toán
BKA,7850103_EM-E13,Phân tích Kinh doanh (Chương trình tiên tiến),D07;A01;D01,25.55,2021,
BKA,7850103_EM-E13,Phân tích kinh doanh (CT tiên tiến),A01;D01;D07,25.47,2023,
BKA,7850103_EM-E13,Phân tích kinh doanh (CT tiên tiến),A01;D01;D07,25.5,2024,
BKA,7850103_EM-E13x,Phân tích kinh doanh (CT tiên tiến),A19,19.09,2020,KTTD
BKA,7850103_EM-E13y,Phân tích kinh doanh (CT tiên tiến),D07;A01;D01,24.18,2022,
BKA,7850103_EM-E14,Logistics và Quản lý chuỗi cung ứng (CT tiên tiến),A00;A01;D01,25.85,2020,
BKA,7850103_EM-E14,Logistics và Quản lý chuỗi cung ứng (Chương trình tiên tiến),D07;A01;D01,26.33,2021,
BKA,7850103_EM-E14,Logistics và Quản lý chuỗi cung ứng (CT tiên tiến),A01;D01;D07,25.69,2023,
BKA,7850103_EM-E14,Logistics và Quản lý chuỗi cung ứng (CT tiên tiến),A01;D01;D07,26.06,2024,
BKA,7850103_EM-E14x,Logistics và Quản lý chuỗi cung ứng (CT tiên tiến),A19,21.19,2020,KTTD
