Mã ngành,Tên ngành,Tổ hợp môn,Điểm chuẩn,Ghi chú,Mã trường,Năm xét tuyển
7480101,Khoa học máy tính,A00; A01; D01; D07,26.4,,KHA,2020
7480201,Công nghệ thông tin,A00; A01; D01; D07,26.6,,KHA,2020
7510605,Logistics và Quản lý chuỗi cung ứng,A00; A01; D01; D07,28.0,,KHA,2020
7620115,Kinh tế nông nghiệp,A00; A01; D01; B00,25.65,,KHA,2020
7810103,Quản trị dịch vụ du lịch và lữ hành,A00; A01; D01; D07,26.7,,KHA,2020
7810201,Quản trị khách sạn,A00; A01; D01; D07,27.25,,KHA,2020
7850101,Quản lý tài nguyên và môi trường A49,A00; A01; D01; D07,25.6,,KHA,2020
7850102,Kinh tế tài nguyên thiên nhiên,A00; A01; D01; B00,25.6,,KHA,2020
7850103,Quản lý đất đai,A00; A01; D01; D07,25.85,,KHA,2020
CT1,Ngân hàng,A00; A01; D01; D07,26.95,,KHA,2020
CT2,Tài chính công,A00; A01; D01; D07,26.55,,KHA,2020
CT3,Tài chính Doanh nghiệp,A00; A01; D01; D07,27.25,,KHA,2020
EBBA,Quản trị kinh doanh (E-BBA),A00; A01; D01; D07,26.25,,KHA,2020
EP01,Khởi nghiệp và phát triển kinh doanh ( BBAE),A01; D01; D07; D09,33.35,Tiếng Anh hệ số 2,KHA,2020
EP02,Định phí bảo hiểm và Quản trị rủi ro ( Actuary),A00; A01; D01; D07,25.85,,KHA,2020
EP03,Khoa học dữ liệu trong Kinh tế và Kinh doanh(DSEB),A00; A01; D01; D07,25.8,,KHA,2020
EP04,Kế toán tích hợp chứng chỉ Quốc tế ( ACT-ICAEW),A00; A01; D01; D07,26.5,,KHA,2020
EP05,Kinh doanh số(E_BDB),A00; A01; D01; D07,26.1,,KHA,2020
EP06,Phân tích Kinh Doanh (BA),A00; A01; D01; D07,26.3,,KHA,2020
EP07,Quản trị điều hành thông minh(E-SOM),A01; D01; D07;D10,26.0,,KHA,2020
EP08,Quản trị chất lượng và đổi mới ( E-MQI),A01; D01; D07;D10,25.75,,KHA,2020
EP09,Công nghệ tài chính (BFT),A00; A01; D01; D07,25.75,,KHA,2020
EP10,Đầu tư tài chính (BFI),A01; D01; D07; D10,34.55,Tiếng Anh hệ số 2,KHA,2020
EP11,Quản trị khách sạn quốc tế (IHME),A01; D01; D09; D10,34.5,Tiếng Anh hệ số 2,KHA,2020
EP12,Kiểm toán tích hợp chứng chỉ quốc tế (AUD_ICAEW),A00; A01; D01; D07,26.65,,KHA,2020
EP13,Kinh tế học Tài chính (FE),A00; A01; D01; D07,24.5,,KHA,2020
EP14,Logistics và Quản lý chuỗi cung ứng tích hợp chứng chỉ quốc tế(LSIC),A01; D01; D07; D10,35.55,Tiếng Anh hệ số 2,KHA,2020
